design_id,mission_profile,cost_m_usd,weight_kg,modularity_pct,load_capacity_kg,life_expectancy_years,upgradeability_score,shielding_score,mobility_score,build_time_months,power_capacity_kw,data_throughput_gbps,radiation_tolerance_krad,feasibility_probability,flight_test_outcome,military_satisfaction,engineer_satisfaction,scientist_satisfaction,communications_satisfaction,overall_stakeholder_satisfaction,within_budget_500m,within_timeline_48mo,meets_min_feasibility_70pct,constraint_status,design_lineage,notes
SAT-0001,Earth Observation,502.9,1891.0,47.2,837.0,8.4,60.0,44.5,51.5,72,38,52.8,108.0,0.568,Pass,38.4,59.5,54.9,27.8,45.2,False,False,False,Infeasible Under Current Constraints,Baseline,Exceeds nominal budget; Exceeds nominal timeline
SAT-0002,Communication,557.2,2385.0,41.8,1119.0,6.0,49.3,66.8,64.2,72,38,67.2,174.0,0.724,Fail,46.3,50.8,50.4,43.7,47.8,False,False,True,Infeasible Under Current Constraints,Shielded Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0003,GPS/Navigation,555.9,2686.0,52.1,1024.0,9.4,49.2,80.2,10.2,72,38,79.1,198.0,0.623,Pass,44.5,56.2,68.6,41.8,52.8,False,False,False,Infeasible Under Current Constraints,Baseline,Exceeds nominal budget; Exceeds nominal timeline; Strong protection profile
SAT-0004,Scientific Research,559.7,2543.0,35.0,1404.0,7.8,43.9,58.6,50.6,72,38,98.6,134.0,0.651,Partial Pass,52.8,54.6,75.3,55.8,59.6,False,False,False,Infeasible Under Current Constraints,Baseline,Exceeds nominal budget; Exceeds nominal timeline
SAT-0005,GPS/Navigation,483.1,1987.0,35.9,793.0,5.5,53.9,50.2,44.4,72,38,34.6,118.0,0.711,Partial Pass,43.6,55.8,37.3,28.0,41.2,True,False,True,Needs Tradeoff Review,High-Modularity Variant,Exceeds nominal timeline
SAT-0006,Communication,558.4,1639.0,76.5,561.0,7.5,71.4,58.8,46.5,72,38,43.5,137.0,0.342,Fail,60.4,52.1,29.1,28.4,42.5,False,False,False,Infeasible Under Current Constraints,Shielded Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0007,Communication,681.4,2848.0,75.3,1279.0,7.9,77.8,34.5,42.3,72,38,77.6,96.0,0.229,Fail,45.7,58.5,67.6,43.3,53.8,False,False,False,Infeasible Under Current Constraints,Payload-Optimized Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0008,GPS/Navigation,443.8,2030.0,34.7,1064.0,7.9,41.5,46.6,25.9,72,38,66.4,109.0,0.817,Pass,31.4,59.6,66.6,41.3,49.7,True,False,True,Needs Tradeoff Review,Low-Cost Variant,Exceeds nominal timeline
SAT-0009,Security/Defense,579.7,2365.0,58.4,1098.0,9.1,50.9,57.0,37.4,72,38,71.3,136.0,0.501,Pass,45.9,62.9,57.7,43.8,52.6,False,False,False,Infeasible Under Current Constraints,Agile-Orbit Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0010,Scientific Research,525.8,3046.0,10.8,1600,8.3,30.8,70.5,38.3,72,38,101.7,164.0,0.684,Pass,55.7,49.9,75.5,42.9,56.0,False,False,False,Infeasible Under Current Constraints,Baseline,Exceeds nominal budget; Exceeds nominal timeline
SAT-0011,Scientific Research,567.6,2144.0,73.5,702.0,8.5,65.9,57.3,42.5,72,38,46.7,146.0,0.417,Fail,48.6,60.7,32.1,27.5,42.2,False,False,False,Infeasible Under Current Constraints,Low-Cost Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0012,GPS/Navigation,633.7,2947.0,72.2,1097.0,10.2,70.3,49.6,39.5,72,38,81.6,140.0,0.541,Partial Pass,53.5,56.6,63.7,46.3,55.0,False,False,False,Infeasible Under Current Constraints,Baseline,Exceeds nominal budget; Exceeds nominal timeline
SAT-0013,Earth Observation,669.0,2831.0,60.4,1106.0,8.3,92.1,63.5,40.1,72,38,63.7,152.0,0.586,Fail,40.4,75.0,56.7,39.5,52.9,False,False,False,Infeasible Under Current Constraints,Baseline,Exceeds nominal budget; Exceeds nominal timeline
SAT-0014,Communication,489.0,1810.0,47.4,896.0,9.8,63.9,47.5,42.0,72,38,64.1,116.0,0.685,Fail,46.0,65.2,56.0,39.3,51.6,True,False,False,Infeasible Under Current Constraints,Baseline,Exceeds nominal timeline
SAT-0015,Communication,470.1,1578.0,23.3,792.0,7.5,48.2,76.6,29.3,72,38,51.5,181.0,0.784,Partial Pass,57.2,53.9,42.8,32.3,46.5,True,False,True,Needs Tradeoff Review,Low-Cost Variant,Exceeds nominal timeline; Strong protection profile
SAT-0016,Security/Defense,647.5,2112.0,84.1,955.0,9.3,77.8,59.2,48.6,72,38,79.1,122.0,0.053,Fail,57.5,49.9,60.2,45.7,53.3,False,False,False,Infeasible Under Current Constraints,High-Modularity Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0017,GPS/Navigation,512.4,1495.0,52.3,631.0,10.9,60.6,56.8,53.2,72,38,45.9,160.0,0.736,Pass,49.0,57.1,49.9,15.3,42.8,False,False,True,Infeasible Under Current Constraints,Payload-Optimized Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0018,Communication,665.1,2547.0,70.4,841.0,9.9,57.4,60.0,51.2,72,38,53.2,129.0,0.489,Pass,52.1,54.3,41.0,26.9,43.6,False,False,False,Infeasible Under Current Constraints,Agile-Orbit Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0019,Multi-Purpose,689.4,2753.0,62.6,1044.0,9.3,59.1,71.5,75.8,72,38,75.7,160.0,0.484,Partial Pass,58.1,64.3,60.9,33.2,54.1,False,False,False,Infeasible Under Current Constraints,Agile-Orbit Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0020,Communication,646.6,2574.0,41.8,993.0,11.5,48.5,84.0,37.9,72,38,67.9,179.0,0.721,Partial Pass,46.4,54.3,54.9,43.7,49.8,False,False,True,Infeasible Under Current Constraints,Baseline,Exceeds nominal budget; Exceeds nominal timeline; Strong protection profile
SAT-0021,Security/Defense,570.0,1340.0,72.4,513.0,9.9,78.2,65.3,29.8,72,38,39.2,158.0,0.475,Fail,50.2,58.6,40.5,28.1,44.4,False,False,False,Infeasible Under Current Constraints,Baseline,High modularity reduces payload capacity; Exceeds nominal budget; Exceeds nominal timeline
SAT-0022,Communication,508.8,2032.0,16.2,998.0,7.3,27.4,67.3,54.5,72,38,68.7,166.0,0.68,Pass,56.5,45.6,55.6,35.3,48.2,False,False,False,Infeasible Under Current Constraints,Shielded Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0023,Multi-Purpose,496.1,1284.0,49.5,402.0,9.7,49.3,77.7,28.6,72,31.7,39.5,178.0,0.751,Pass,42.7,61.5,35.6,28.6,42.1,True,False,True,Needs Tradeoff Review,Shielded Variant,Exceeds nominal timeline; Strong protection profile
SAT-0024,Scientific Research,505.0,1353.0,49.9,549.0,9.4,71.9,66.6,11.3,72,38,28.6,174.0,0.758,Pass,46.7,60.3,38.5,33.1,44.6,False,False,True,Infeasible Under Current Constraints,Low-Cost Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0025,Security/Defense,538.0,2291.0,36.9,1037.0,6.6,63.8,67.1,54.1,72,38,72.9,166.0,0.719,Partial Pass,48.2,59.6,49.3,32.3,47.4,False,False,True,Infeasible Under Current Constraints,Shielded Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0026,Communication,600.3,2123.0,79.0,936.0,9.3,69.3,51.5,47.3,72,38,53.3,112.0,0.163,Partial Pass,53.4,49.5,37.1,38.2,44.5,False,False,False,Infeasible Under Current Constraints,Agile-Orbit Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0027,Communication,542.2,2092.0,23.2,885.0,5.6,29.2,42.4,54.2,72,38,49.8,105.0,0.442,Pass,45.3,38.6,39.9,30.6,38.6,False,False,False,Infeasible Under Current Constraints,Agile-Orbit Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0028,Multi-Purpose,465.8,1408.0,41.4,467.0,10.1,48.0,70.1,61.3,72,38,43.5,160.0,0.793,Pass,46.6,53.5,26.7,29.4,39.0,True,False,True,Needs Tradeoff Review,Payload-Optimized Variant,Exceeds nominal timeline
SAT-0029,GPS/Navigation,420.9,1557.0,43.7,766.0,8.7,35.0,37.5,46.7,72,38,61.6,79.0,0.746,Pass,41.8,51.6,44.4,33.1,42.7,True,False,True,Needs Tradeoff Review,High-Modularity Variant,Exceeds nominal timeline
SAT-0030,GPS/Navigation,430.1,1865.0,44.9,858.0,6.1,24.7,42.6,42.6,72,38,43.1,116.0,0.669,Pass,38.9,62.1,50.2,31.0,45.5,True,False,False,Infeasible Under Current Constraints,Baseline,Exceeds nominal timeline
SAT-0031,Communication,569.3,2452.0,44.6,978.0,9.0,43.8,49.2,62.3,72,38,69.0,109.0,0.736,Pass,51.2,63.2,58.0,31.3,50.9,False,False,True,Infeasible Under Current Constraints,Payload-Optimized Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0032,Communication,684.7,2711.0,95,1070.0,9.6,89.0,33.0,20.9,72,38,68.0,100.0,0.05,Partial Pass,22.8,54.1,53.2,44.3,43.6,False,False,False,Infeasible Under Current Constraints,Shielded Variant,Exceeds nominal budget; Exceeds nominal timeline
